Pet_Food	Monster's_Feed
Novice_Potion	Red_Potion
Lucky_Candy	Candy
Lucky_Candy_Cane	Candy_Cane
Lucky_Cookie	Well-Baked_Cookie
Fish_Cake_Soup	Tom_Yum_Goong
Slow_Potion	Speed_Potion
Pork	Meat
Galbi	Meat
Sweet_Candy_Cane	Candy_Cane
Mercenary_Concentration_Potion	Concentration_Potion
Mercenary_Awakening_Potion	Awakening_Potion
Mercenary_Berserk_Potion	Berserk_Potion
Military_Ration_A	Rice_Ball
Military_Ration_B	Rice_Ball
Military_Ration_C	Rice_Ball
Rune_Strawberry_Cake	Handmade_White_Chocolate
Schwartzwald_Pine_Jubilee	Fruit_Mix
Arunafeltz_Desert_Sandwich	Cream_Sandwich
Novice_Fly_Wing	Fly_Wing
Novice_Butterfly_Wing	Butterfly_Wing
Novice_Magnifier	Magnifier
Old_Navy_Box	Old_Blue_Box
I_Love_You_Firecracker	Firecracker
Whiteday_Firecracker	Firecracker
Valentine's_Day_Firecracker	Firecracker
Birthday_Firecracker	Firecracker
Xmas_Firecracker	Firecracker
Cursed_Ruby	Ruby
2_Carat_Diamond	1_Carat_Diamond
3_Carat_Diamond	1_Carat_Diamond
Cracked_Diamond	1_Carat_Diamond
Solid_Trunk	Fine-Grained_Trunk
Barren_Trunk	Fine-Grained_Trunk
Orange_Gooey_Mushroom	Orange_Net_Mushroom
Unknown_Test_Tube_	Unknown_Test_Tube
Unknown_Test_Tube__	Unknown_Test_Tube
Unknown_Test_Tube___	Unknown_Test_Tube
Unknown_Test_Tube____	Unknown_Test_Tube
Delivery_Box_	Delivery_Box
Cursed_Baphomet_Doll	Baphomet_Doll
Sealed_Scroll	Unsealed_Magic_Spell
Glittering_Paper_	Glittering_Paper
Horn_of_Tendrilion	Horn_of_Hillslion
Decaying_Stem	Tree_Root
Messy_File	Morroc_Tracing_Log
Piece_of_Fish	Fish_Tail
Part_of_a_Report	Morroc_Tracing_Log
Letter_from_Otto	Delivery_Message
Supply_Box	Delivery_Box
Claw_of_Desert_Wolf	Wolf_Claw
Poison_Spore	Mushroom_Spore
Megaphone_	Megaphone
Fine_Grit	Star_Crumb
Fine_Sand	Star_Dust
Vigorgra	Anodyne
Talon_of_Griffon	Talon
Free_Transit_Voucher	Free_Storage_Voucher
Free_Pushcart_Voucher	Free_Storage_Voucher
Stone_Fragment	Stone
Mother's_Letter	Delivery_Message
Oil_Paper	Glittering_Paper
Poisonous_Powder	Ashes_of_Darkness
Solid_Husk	Chocolate_Pie
Tough_Vines	Strong_Vine
Strong_Branch	Ordinary_Branch
Spirit_of_Guild	Free_Storage_Voucher
Spirit_of_Charge	Free_Storage_Voucher
Spirit_of_Association	Free_Storage_Voucher
Spirit_of_Coordination	Free_Storage_Voucher
Spirit_of_Advance	Free_Storage_Voucher
