Katana	1116
Tsurugi	1119
Ring_Pommel_Saber	1122
Haedonggum	1123
Saber	1126
Jeweled_Sword	1142
Gaia_Sword	1143
Sashimi	1144
Bastard_Sword	1154
Broad_Sword	1160
Violet_Fear	1185
Main_Gauche	1207
Stiletto	1216
Gladius	1219
Zeny_Knife	1238
Poison_Knife	1239
Hammer	1354
Buster	1357
Bloody_Axe	1363
Light_Epsilon	1366
Lance	1410
Partizan	1457
Trident	1460
Halberd	1463
Crescent_Scythe	1466
Zephyrus	1468
Soul_Staff	1472
Wizardry_Staff	1473
Mace	1504
Sword_Mace	1516
Chain	1519
Stunner	1522
Golden_Mace	1524
Iron_Driver	1529
Wrench	1531
Book	1550
Book_of_Billows	1553
Book_of_Mother_Earth	1554
Book_of_Blazing_Sun	1555
Book_of_Gust_of_Wind	1556
Book_of_the_Apocalypse	1557
Girl's_Diary	1558
Angra_Manyu	1366
Arc_Wand	1610
Mighty_Staff	1613
Wand_of_Occult	1614
Evil_Bone_Wand	1615
Cross_Bow	1710
Arbalest_Bow	1713
Gakkung_Bow	1714
Hunter_Bow	1718
Rudra_Bow	1720
Waghnak	1801
Knuckle_Dusters	1803
Studded_Knuckles	1805
Fist	1807
Claw	1809
Finger	1811
Kaiser_Knuckle	1813
Berserk	1814
Rante_Whip	1956
Tail_Whip	1958
Leather_Whip	1960
Twin_Edge_of_Naght_Sieger	13412
Twin_Edge_of_Naght_Sieger_	13413
Guard	가드
Guard_	가드
Buckler	버클러
Buckler_	버클러
Shield	쉴드
Shield_	쉴드
Mirror_Shield	미러쉴드
Mirror_Shield_	미러쉴드
Memory_Book	메모라이즈북
Holy_Guard	미러쉴드
Sacred_Mission	미러쉴드
Novice_Guard	가드
Novice_Shield	쉴드
Stone_Buckler	버클러
Valkyrja's_Shield	미러쉴드
Angel's_Guard	가드
Arm_Guard	가드
Arm_Guard_	가드
Advanced_Arm_Guard	가드
Advanced_Arm_Guard_	가드
Memory_Book_	메모라이즈북
Platinum_Shield	미러쉴드
Orleans's_Server	미러쉴드
Thorny_Buckler	버클러
Strong_Shield	미러쉴드
Sacred_Mission_	미러쉴드
Exorcism_Bible	메모라이즈북
Cross_Shield	미러쉴드
Magic_Bible_Vol1	메모라이즈북
Tournament_Shield	미러쉴드
Shield_of_Naga	버클러
Ahura_Mazdah	버클러
Sunglasses	선글래스
Sunglasses_	선글래스
Glasses	글래스
Glasses_	글래스
Diver_Goggles	물안경
Wedding_Veil	면사포
Fancy_Flower	꽃
Ribbon	리본
Ribbon_	리본
Hair_Band	머리띠
Bandana	두건
Eye_Patch	안대
Kitty_Band	고양이머리띠
Bunny_Band	토끼머리띠
Flower_Band	꽃머리띠
Biretta	비레타
Biretta_	비레타
Flu_Mask	마스크
Hat	햇
Hat_	햇
Turban	둥근모자
Turban_	둥근모자
Goggles	고글
Goggles_	고글
Cap	캡
Cap_	캡
Helm	헬름
Helm_	헬름
Circlet	서클릿
Circlet_	서클릿
Tiara	티아라
Crown	크라운
Santa_Hat	산타모자
Monocle	외눈안경
Grampa_Beard	흰수염
Purple_Glasses	고급선글래스
Geek_Glasses	스핀글래스
Big_Ribbon	왕리본
Sweet_Gent	스위트젠틀
Golden_Gear	골든헤드기어
Romantic_Gent	올드스터로맨스
Western_Grace	웨스턴그레이스
Coronet	코로넷
Cute_Ribbon	머리끈
Monk_Hat	성직자의모자
Wizard_Hat	위저드햇
Sunflower	장식용해바라기
Angel_Wing	천사의머리띠
Evil_Wing	악마의머리띠
Majestic_Goat	마제스틱고우트
Unicorn_Horn	새하얀뿔
Spiky_Band	샤프헤드기어
Mini_Propeller	프로펠라
Mini_Glasses	미니글래스
Army_Cap	프론테라군모
Clown_Nose	광대코
Zorro_Masque	의적안대
Munak_Hat	무낙모자
Gangster_Mask	시위용마스크
Iron_Cain	아이언케인
Cigarette	담배
Pipe	파이프담배
Romantic_Flower	꽃잎
Romantic_Leaf	풀잎
Jack_be_Dandy	머리안경
Stop_Post	정지표지판
Doctor_Band	의사머리띠
Ghost_Bandana	망자의머리띠
Red_Bandana	반다나
Angled_Glasses	도끼눈
Nurse_Cap	간호모
Mr._Smile	스마일
Bomb_Wick	심지
Sakkat	삿갓
Opera_Masque	오페라가면
Halo	영혼고리
Ear_Muffs	귀마개
Antlers	사슴뿔
Apple_of_Archer	명사수의사과
Elven_Ears	요정의귀
Pirate_Bandana	해적두건
Mr._Scream	스크래치마스크
Poo_Poo_Hat	거시기
Funeral_Hat	장례건
Masquerade	나비가면
Welding_Mask	용접마스크
Pretend_Murdered	연극소도구
Stellar	스타더스트
Blinder	눈가리개
Binoculars	망원경
Goblin_Mask	고블린족가면
Green_Feeler	초록더듬이
Orc_Helm	오크족헬름
Headset	헤드폰
Jewel_Crown	쥬얼크라운
Joker_Jester	광대모자
Oxygen_Mask	산소마스크
Gas_Mask	가스마스크
Machoman's_Glasses	하트파운데이션
Grand_Circlet	로드서클릿
Puppy_Love	풋사랑
Safety_Helmet	안전모
Indian_Fillet	원주민머리띠
Aerial	안테나
Ph.D_Hat	학사모
Lord_Kaho's_Horns	로드카호의뿔
Fin_Helm	핀헬름
Egg_Shell	장식용알껍질
Boy's_Cap	학생모
Bone_Helm	본헬름
Feather_Bonnet	깃털모자
Corsair	커세어
Grief_for_Greed	돈잃은자의마음
Hat_of_the_Sun_God	태양신의모자
Parcel_Hat	보따리모
Cake_Hat	케이크모자
Helm_of_Angel	천사의투구
Chef_Hat	요리사의모자
Mage_Hat	마법사의모자
Candle	촛불
Spore_Hat	스포아모자
Panda_Hat	팬더곰모자
Mine_Hat	광산헬멧
Sunday_Hat	나들이모자
Raccoon_Hat	너구리모자
Bulb_Band	전구머리띠
Poring_Hat	포링모자
Cross_Hat	십자머리띠
Nut_Shell	열매껍질
Deviruchi_Hat	새끼악마모자
Rainbow_Eggshell	알록달록알껍질
Blush	발그레
Heart_Hairpin	하트머리핀
Bao_Bao	머리포자기
Opera_Phantom_Mask	오페라유령가면
Magician_Hat	마술사의모자
Bongun_Hat	본건모자
Fashionable_Glasses	패션선글래스
Crescent_Hairpin	초승달머리핀
Striped_Hairband	줄무늬머리띠
Wonder_Nutshell	신비한열매껍질
Blue_Hairband	청색머리띠
Sphinx_Hat	스핑크스모자
Novice_Eggshell	장식용알껍질
Black_Cat_Ears	검은고양이귀
Drooping_Cat	늘어진고양이
Teddybear_Hat	곰돌이모자
Party_Hat	꼬깔모자
Flower_Hairpin	꽃머리핀
Straw_Hat	밀짚모자
Giant_Band_Aid	반창고
Smokie_Leaf	나뭇잎투구
Blue_Fish	생선모자
Succubus_Horn	서큐버스뿔
Sombrero	솜브레로
Evil_Wing_Ears	악마날개귀
Kitsune_Mask	여우가면
Hot-Blooded_Headband	열혈머리띠
Indian_Headband	인디안머리띠
Incubus_Horn	인큐버스뿔
Model_Training_Hat	자세교정모자
Angel_Wing_Ears	천사날개귀
Cowboy_Hat	카우보이모자
Beanie	털모자
Tulip_Hairpin	튤립머리핀
Sea_Otter_Hat	해달모자
X_Hairpin	x자머리핀
Crown_of_Ancient_Queen	여왕의투구
Crown_of_Mistress	미스트레스왕관
Decorative_Mushroom	버섯머리띠
Red_Ribbon	빨간테일리본
Lazy_Smokie	귀찮은너구리
Small_Ribbons	양쪽귀밑리본
Alarm_Mask	알람가면
Poker_Face	고블린가면1호
Surprised_Mask	고블린가면2호
Annoyed_Mask	고블린가면3호
Goblin_Leader_Mask	고블린가면4호
Decorative_Golden_Bell	대형금방울
Coif	수녀모자
Coif_	수녀모자
