Map,X,Y,Width,Height,Count,Class,SpawnTime,Variance,Recycle
//2009rwc_03,0,0,0,0,10,FLORA,0,0,0
//2009rwc_03,0,0,0,0,30,ICE_TITAN,0,0,0
2009rwc_03,50,50,1,1,10,HORNET,0,0,0
gef_fild00,0,0,0,0,80,PORING,0,0,0
gef_fild00,0,0,0,0,80,FABRE,0,0,0
gef_fild00,0,0,0,0,20,PUPA,0,0,0
gef_fild00,0,0,0,0,20,POPORING,0,0,0
gef_fild00,95,128,0,0,1,BLUE_PLANT,900000,450000,1
gef_fild00,124,321,0,0,1,BLUE_PLANT,900000,450000,1
gef_fild00,54,212,5,5,3,GREEN_PLANT,360000,180000,1
gef_fild00,54,186,5,5,3,GREEN_PLANT,360000,180000,1
prt_fild00,0,0,0,0,10,CREAMY,0,0,0
prt_fild00,0,0,0,0,20,FABRE,0,0,0
prt_fild00,0,0,0,0,50,PUPA,0,0,0
prt_fild00,0,0,0,0,30,LUNATIC,0,0,0
prt_fild00,0,0,0,0,40,PORING,0,0,0
prt_fild00,0,0,0,0,40,HORNET,0,0,0
prt_fild00,227,212,0,0,1,SHINING_PLANT,1800000,900000,1
prt_fild00,285,138,10,10,5,GREEN_PLANT,360000,180000,1
prt_fild01,0,0,0,0,30,THIEF_BUG,0,0,0
prt_fild01,0,0,0,0,20,FABRE,0,0,0
prt_fild01,0,0,0,0,10,PUPA,0,0,0
prt_fild01,0,0,0,0,80,LUNATIC,0,0,0
prt_fild01,0,0,0,0,30,PORING,0,0,0
prt_fild01,199,266,3,3,3,GREEN_PLANT,360000,180000,1
prt_fild01,199,266,3,3,1,BLUE_PLANT,900000,450000,1
prt_fild02,0,0,0,0,75,MANDRAGORA,0,0,0
prt_fild02,0,0,0,0,50,FABRE,0,0,0
prt_fild02,0,0,0,0,20,PUPA,0,0,0
prt_fild02,0,0,0,0,60,LUNATIC,0,0,0
prt_fild02,0,0,0,0,30,PORING,0,0,0
prt_fild02,0,0,0,0,1,ECLIPSE,1800000,1200000,0
prt_fild02,339,309,3,3,1,SHINING_PLANT,1800000,900000,1
