Id,Code,Name,Level,HP,Str,Int,Vit,Dex,Agi,Luk,AtkMin,AtkMax,Range,Def,MDef,Exp,JExp,ScanDist,ChaseDist,Size,Race,Element,RechargeTime,HitTime,AttackTime,MoveSpeed,Special,MonsterAiType,SpriteAttackTiming,ClientSprite,ClientOffset,ClientShadow,ClientSize
1000,WARP,Warp,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,10,12,Medium,Formless,Neutral1,100,100,100,-1,Npc,AiEmpty,100,PortalPlaceholder.prefab,0,-1,1
4000,PORING,Poring,1,50,1,0,1,6,1,30,7,10,1,0,5,11,1,10,12,Medium,Plant,Water1,1872,480,672,400,Normal,AiPassive,300,poring.spr,0,0.5,1
4010,GREEN_PLANT,Green Plant,1,10,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,green_plant.spr,0,-1,1
4011,BLACK_MUSHROOM,Black Mushroom,1,15,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,black_mushroom.spr,0,-1,1
4013,BLUE_PLANT,Blue Plant,1,10,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,blue_plant.spr,0,-1,1
4017,SHINING_PLANT,Shining Plant,1,20,0,0,0,0,0,90,1,2,1,100,99,11,0,7,12,Small,Plant,Holy1,1,1,1,2000,Normal,AiPlant,1,shining_plant.spr,0,-1,1
4030,RED_MUSHROOM,Red Mushroom,1,15,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,red_mushroom.spr,0,-1,1
4040,YELLOW_PLANT,Yellow Plant,1,10,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,yellow_plant.spr,0,-1,1
4100,RED_PLANT,Red Plant,1,10,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,red_plant.spr,0,-1,1
4145,WHITE_PLANT,White Plant,1,10,0,0,0,0,0,0,1,2,1,100,99,11,0,7,12,Small,Plant,Earth1,1,1,1,2000,Normal,AiPlant,1,white_plant.spr,0,-1,1
4001,FABRE,Fabre,2,63,1,0,4,7,2,5,8,11,1,0,0,16,2,10,12,Small,Insect,Earth1,1672,480,672,400,Normal,AiPassive,200,fabre.spr,0,0.5,1
4003,PUPA,Pupa,12,427,1,0,1,1,1,20,1,2,0,0,20,63,4,10,12,Small,Insect,Earth1,1001,1,1,1000,Normal,AiPlant,1,pupa.spr,0,-1,1
4048,MASTERING,Mastering,30,2415,1,0,2,17,2,60,18,24,1,0,10,5000,10,10,12,Medium,Plant,Water1,1072,480,672,300,Boss,AiAggressive,300,mastering.spr,0,0.75,1
4002,LUNATIC,Lunatic,3,60,1,10,3,8,3,60,9,12,1,0,20,24,2,10,12,Small,Beast,Neutral3,1456,336,456,200,Normal,AiPassive,275,lunatic.spr,0,0.5,1
4012,DROPS,Drops,3,55,1,0,3,12,3,15,10,13,1,0,0,24,3,10,12,Medium,Plant,Fire1,1372,480,672,400,Normal,AiPassive,300,drops.spr,0,0.5,1
4025,PECOPECO_EGG,Peco Peco Egg,3,420,1,0,1,1,1,20,1,2,0,20,20,24,4,10,12,Small,Formless,Neutral3,1001,1,1,1000,Normal,AiPlant,1,peco_egg.spr,0,-1,1
4028,PICKY,Picky,3,80,1,5,3,10,3,30,9,12,1,0,0,24,3,10,12,Small,Beast,Fire1,988,168,288,200,Normal,AiPassive,150,picky.spr,0,0.25,1
4008,THIEF_BUG_EGG,Thief Bug Egg,4,48,1,0,4,14,6,20,13,17,0,20,0,35,4,10,12,Small,Insect,Dark1,701,1,1,1000,Normal,AiPlant,1,thief_bug_egg.spr,0,-1,1
4029,PICKY_,Eggshell Picky,4,83,1,10,3,11,3,20,8,11,1,20,0,35,4,10,12,Small,Beast,Fire1,988,168,288,200,Normal,AiPassive,100,picky_.spr,0,0.25,1
4042,WILOW,Willow,4,95,1,30,8,9,4,10,9,12,1,5,15,35,4,10,12,Medium,Plant,Earth1,1672,432,672,200,Normal,AiPassive,300,wilow.spr,0,0.5,1
