Name,Code,WalkData
Geffen Field 0,gef_fild00,gef_fild00.walk
Geffen Field 1,gef_fild01,gef_fild01.walk
Geffen Field 2,gef_fild02,gef_fild02.walk
Geffen Field 3,gef_fild03,gef_fild03.walk
Geffen Field 4,gef_fild04,gef_fild04.walk
Geffen Field 5,gef_fild05,gef_fild05.walk
Geffen Field 6,gef_fild06,gef_fild06.walk
Geffen Field 7,gef_fild07,gef_fild07.walk
Geffen Field 8,gef_fild08,gef_fild08.walk
Geffen Field 9,gef_fild09,gef_fild09.walk
Geffen Field 10,gef_fild10,gef_fild10.walk
Geffen Field 11,gef_fild11,gef_fild11.walk
Geffen Field 12,gef_fild12,gef_fild12.walk
Geffen Field 13,gef_fild13,gef_fild13.walk
Geffen Field 14,gef_fild14,gef_fild14.walk
Geffen,geffen,geffen.walk
Izlude,izlude,izlude.walk
Juperos 1F,juperos_01,juperos_01.walk
Mt. Mjolnir 1,mjolnir_01,mjolnir_01.walk
Mt. Mjolnir 2,mjolnir_02,mjolnir_02.walk
Mt. Mjolnir 3,mjolnir_03,mjolnir_03.walk
Mt. Mjolnir 4,mjolnir_04,mjolnir_04.walk
Mt. Mjolnir 5,mjolnir_05,mjolnir_05.walk
Mt. Mjolnir 6,mjolnir_06,mjolnir_06.walk
Mt. Mjolnir 7,mjolnir_07,mjolnir_07.walk
Mt. Mjolnir 8,mjolnir_08,mjolnir_08.walk
Mt. Mjolnir 9,mjolnir_09,mjolnir_09.walk
Mt. Mjolnir 10,mjolnir_10,mjolnir_10.walk
Mt. Mjolnir 11,mjolnir_11,mjolnir_11.walk
Mt. Mjolnir 12,mjolnir_12,mjolnir_12.walk
Morroc Field 1,moc_fild01,moc_fild01.walk
Morroc Field 2,moc_fild02,moc_fild02.walk
Morroc Field 3,moc_fild03,moc_fild03.walk
Morroc Field 4,moc_fild04,moc_fild04.walk
Morroc Field 5,moc_fild05,moc_fild05.walk
Morroc Field 6,moc_fild06,moc_fild06.walk
Morroc Field 7,moc_fild07,moc_fild07.walk
Morroc Field 8,moc_fild08,moc_fild08.walk
Morroc Field 9,moc_fild09,moc_fild09.walk
Morroc Field 10,moc_fild10,moc_fild10.walk
Morroc Field 11,moc_fild11,moc_fild11.walk
Morroc Field 12,moc_fild12,moc_fild12.walk
Morroc Field 13,moc_fild13,moc_fild13.walk
Morroc Field 14,moc_fild14,moc_fild14.walk
Morroc Field 15,moc_fild15,moc_fild15.walk
Morroc Field 16,moc_fild16,moc_fild16.walk
Morroc Field 17,moc_fild17,moc_fild17.walk
Morroc Field 18,moc_fild18,moc_fild18.walk
Morroc Field 19,moc_fild19,moc_fild19.walk
Morroc Field 20,moc_fild20,moc_fild20.walk
Morroc Field 21,moc_fild21,moc_fild21.walk
Morroc Field 22,moc_fild22,moc_fild22.walk
Morroc,morocc,morocc.walk
Morroc Pyramids,moc_ruins,moc_ruins.walk
Payon Field 1,pay_fild01,pay_fild01.walk
Payon Field 2,pay_fild02,pay_fild02.walk
Payon Field 3,pay_fild03,pay_fild03.walk
Payon Field 4,pay_fild04,pay_fild04.walk
Payon Field 5,pay_fild05,pay_fild05.walk
Payon Field 6,pay_fild06,pay_fild06.walk
Payon Field 7,pay_fild07,pay_fild07.walk
Payon Field 8,pay_fild08,pay_fild08.walk
Payon Field 9,pay_fild09,pay_fild09.walk
Payon Field 10,pay_fild10,pay_fild10.walk
Payon Field 11,pay_fild11,pay_fild11.walk
Payon,payon,payon.walk
Payon Archer Village,pay_arche,pay_arche.walk
Payon Guild Castles,pay_gld,pay_gld.walk
Prontera,prontera,prontera.walk
Prontera Field 0,prt_fild00,prt_fild00.walk
Prontera Field 1,prt_fild01,prt_fild01.walk
Prontera Field 2,prt_fild02,prt_fild02.walk
Prontera Field 3,prt_fild03,prt_fild03.walk
Prontera Field 4,prt_fild04,prt_fild04.walk
Prontera Field 5,prt_fild05,prt_fild05.walk
Prontera Field 6,prt_fild06,prt_fild06.walk
Prontera Field 7,prt_fild07,prt_fild07.walk
Prontera Field 8,prt_fild08,prt_fild08.walk
Prontera Field 9,prt_fild09,prt_fild09.walk
Prontera Field 10,prt_fild10,prt_fild10.walk
Prontera Field 11,prt_fild11,prt_fild11.walk
Prontera Culverts B1F,prt_sewb1,prt_sewb1.walk
Alberta,alberta,alberta.walk
Pyramids 1F,moc_pryd01,moc_pryd01.walk
Pyramids 2F,moc_pryd02,moc_pryd02.walk
Pyramids 3F,moc_pryd03,moc_pryd03.walk
Pyramids 4F,moc_pryd04,moc_pryd04.walk
Pyramids Passageway,moc_prydb1,moc_prydb1.walk
Pyramids B1F,moc_pryd05,moc_pryd05.walk
Pyramids B2F,moc_pryd06,moc_pryd06.walk
Aldebaran,aldebaran,aldebaran.walk
Arena Room,2009rwc_03,2009rwc_03.walk
Payon Dungeon 1F,pay_dun00,pay_dun00.walk
Payon Dungeon 2F,pay_dun01,pay_dun01.walk
Payon Dungeon 3F,pay_dun02,pay_dun02.walk
Payon Dungeon 4F,pay_dun03,pay_dun03.walk
Payon Dungeon 5F,pay_dun04,pay_dun04.walk
