AiType,State,InputCheck,OutputCheck,EndState
AiPassive,StateIdle,InWaitEnd,OutRandomMoveStart,StateRandomMove
AiPassive,StateIdle,InAttacked,OutStartChase,StateChase
AiPassive,StateRandomMove,InAttacked,OutStartChase,StateChase
AiPassive,StateRandomMove,InReachedTarget,OutWaitStart,StateIdle
AiPassive,StateChase,InAttackRange,OutStartAttacking,StateAttacking
AiPassive,StateChase,InReachedTarget,OutSearch,StateSearch
AiPassive,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiPassive,StateSearch,InEnemyOutOfSight,OutWaitStart,StateIdle
AiPassive,StateSearch,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiPassive,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiPassive,StateAttacking,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiPassive,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiPassive,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiAggressive,StateIdle,InTargetSearch,OutStartChase,StateChase
AiAggressive,StateIdle,InWaitEnd,OutRandomMoveStart,StateRandomMove
AiAggressive,StateIdle,InAttacked,OutStartChase,StateChase
AiAggressive,StateRandomMove,InTargetSearch,OutStartChase,StateChase
AiAggressive,StateRandomMove,InAttacked,OutStartChase,StateChase
AiAggressive,StateRandomMove,InReachedTarget,OutWaitStart,StateIdle
AiAggressive,StateChase,InAttackRange,OutStartAttacking,StateAttacking
AiAggressive,StateChase,InReachedTarget,OutSearch,StateSearch
AiAggressive,StateChase,InAttacked,OutChangeTargets,StateSearch
AiAggressive,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiAggressive,StateSearch,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAggressive,StateSearch,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiAggressive,StateSearch,InAttackRange,OutStartAttacking,StateAttacking
AiAggressive,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAggressive,StateAttacking,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiAggressive,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiAggressive,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiAggressiveImmobile,StateIdle,InAttackRange,OutStartAttacking,StateAttacking
AiAggressiveImmobile,StateIdle,InAttacked,OutTryAttacking,StateAttacking
AiAggressiveImmobile,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiAggressiveImmobile,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAggressiveImmobile,StateAttacking,InEnemyOutOfAttackRange,OutWaitStart,StateIdle
AiAggressiveImmobile,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiAggressiveImmobile,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiPlant,StateIdle,InWaitEnd,OutWaitForever,StateIdle
AiPlant,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiPlant,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
