Id,Code,Name,Defense,MagicDef,Slot,Price,Weight,Type,Position,Property,MinLvl,EquipGroup,Refinable,Breakable,Icon,Sprite,Comment,,
2101,Guard,,3,0,0,500,300,Shield,,,0,Any,Yes,Yes,가드,가드,,,
2102,Guard_,,3,0,1,500,300,Shield,,,0,Any,Yes,Yes,가드,가드,,,
2103,Buckler,,4,0,0,14000,600,Shield,,,0,MeleeUser,Yes,Yes,버클러,버클러,,,
2104,Buckler_,,4,0,1,14000,600,Shield,,,0,MeleeUser,Yes,Yes,버클러,버클러,,,
2105,Shield,,6,0,0,56000,1300,Shield,,,0,Swordsman,Yes,Yes,쉴드,쉴드,,,
2106,Shield_,,6,0,1,56000,1300,Shield,,,0,Swordsman,Yes,Yes,쉴드,쉴드,,,
2107,Mirror_Shield,,4,5,0,60000,1000,Shield,,,0,Swordsman,Yes,Yes,미러쉴드,미러쉴드,,,
2108,Mirror_Shield_,,4,5,1,60000,1000,Shield,,,0,Swordsman,Yes,Yes,미러쉴드,미러쉴드,,,
2109,Memorize_Book,,3,2,0,20,1000,Shield,,,0,Mage,Yes,Yes,메모라이즈북,메모라이즈북,,,
2110,Holy_Guard,,5,2,0,85000,1400,Shield,,,68,Crusader,Yes,Yes,홀리가드,미러쉴드,,,
2201,Sunglasses,,0,0,0,5000,100,Headgear,Mid,,0,Any,No,No,선글래스,선글래스,,,
2202,Sunglasses_,,0,0,1,5000,100,Headgear,Mid,,0,Any,No,No,선글래스,선글래스,,,
2203,Glasses,,0,0,0,4000,100,Headgear,Mid,,0,Any,No,No,글래스,글래스,,,
2204,Glasses_,,0,0,1,4000,100,Headgear,Mid,,0,Any,No,No,글래스,글래스,,,
2205,Diver_Goggles,,0,0,0,3500,100,Headgear,Mid,,0,Any,No,No,물안경,물안경,,,
2206,Wedding_Veil,,0,0,0,23000,100,Headgear,Upper,,0,Any,Yes,Yes,면사포,면사포,,,
2207,Fancy_Flower,,0,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,장식용꽃,꽃,,,
2208,Ribbon,,1,3,0,800,100,Headgear,Upper,,0,Any,Yes,Yes,리본,리본,,,
2209,Ribbon_,,1,3,1,800,100,Headgear,Upper,,0,Any,Yes,Yes,리본,리본,,,
2210,Hair_Band,,1,0,0,500,100,Headgear,Upper,,0,Any,Yes,Yes,머리띠,머리띠,,,
2211,Bandana,,1,0,0,400,100,Headgear,Upper,,0,Any,Yes,Yes,두건,두건,,,
2212,Eye_Patch,,0,0,0,1000,100,Headgear,Mid,,0,Any,No,No,안대,안대,,,
2213,Kitty_Band,,2,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,고양이머리띠,고양이머리띠,,,
2214,Bunny_Band,,2,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,토끼머리띠,토끼머리띠,,,
2215,Flower_Hairband,,2,0,0,20,100,Headgear,Upper,,0,Any,Yes,Yes,꽃머리띠,꽃머리띠,,,
2216,Biretta,,4,0,0,9000,100,Headgear,Upper,,0,Acolyte,Yes,Yes,비레타,비레타,,,
2217,Biretta_,,4,0,1,9000,100,Headgear,Upper,,0,Acolyte,Yes,Yes,비레타,비레타,,,
2218,Flu_Mask,,0,0,0,300,100,Headgear,Lower,,0,Any,No,No,마스크,마스크,,,
2220,Hat,,2,0,0,1000,200,Headgear,Upper,,0,Any,Yes,Yes,햇,햇,,,
2221,Hat_,,2,0,1,1000,200,Headgear,Upper,,0,Any,Yes,Yes,햇,햇,,,
2222,Turban,,3,0,0,4500,300,Headgear,Upper,,0,NotNovice,Yes,Yes,둥근모자,둥근모자,,,
