Monster,Item1,Chance1,Item2,Chance2,Item3,Chance3,Item4,Chance4,Item5,Chance5,Item6,Chance6,Item7,Chance7,Item8,Chance8
Poring,Jellopy,7000,Empty_Bottle,1500,Apple,1000,Sticky_Mucus,400,Apple,150,Apple,100,Knife,100,Poring_Card,1
Poring50,Jellopy,7000,Empty_Bottle,1500,Apple,1000,Sticky_Mucus,400,Apple,150,Apple,100,Knife,100,Poring_Card,1
Fabre,Fluff,6500,Soft_Fur,500,Club,80,Emerald,5,Green_Herb,700,Clover,1000,Club,200,Fabre_Card,1
Lunatic,Clover,6500,Soft_Fur,1000,Pierrot_Nose,4,Apple,2000,Red_Herb,600,Carrot,1100,Rainbow_Carrot,20,Lunatic_Card,1
Pupa,Phracon,80,Chrysalis,5500,Sticky_Mucus,600,Guard_,2,Shell,1000,Sticky_Mucus,600,Iron_Ore,200,Pupa_Card,1
Creamy,Powder_Of_Butterfly,9000,Silk_Robe_,10,Honey,150,Butterfly_Wing,100,Fancy_Flower,2,Flower,500,Apple,0,Creamy_Card,1
Rocker,Grasshopper_Leg,9000,Apple,0,Green_Feeler,4,Javelin_,80,Hinalle_Leaflet,10,Grasshopper_Doll,10,Hinalle,10,Rocker_Card,1
Poporing,Sticky_Mucus,5500,Garlet,1500,Green_Herb,500,Grape,200,Apple,5,Main_Gauche,5,Apple,250,Poporing_Card,1
Thief_Bug,Worm_Peeling,2500,Leather_Jacket_,80,Red_Herb,350,Jellopy,2000,Leather_Jacket,120,Iron_Ore,250,Apple,0,Thief_Bug_Card,1
Thief_Bug_Egg,Phracon,300,Chrysalis,5000,Guard_,2,Sticky_Mucus,600,Red_Gemstone,100,Black_Ladle,10,Iron_Ore,250,Thief_Bug_Egg_Card,1
Hornet,Wind_Of_Verdure,80,Bee_Sting,9000,Jellopy,3500,Main_Gauche_,15,Green_Herb,350,Honey,150,Apple,0,Hornet_Card,1
Green_Plant,Green_Herb,7000,Flower,1000,Bitter_Herb,20,Stem,3000,Pointed_Scale,1500,Aloe,50,Aloe_Leaflet,50,Romantic_Leaf,2
Black_Mushroom,Alchol,50,Detrimindexta,50,Dew_Laden_Moss,20,Soft_Fur,2000,Crystal_Blue,800,Mushroom_Spore,5500,Mushroom_Spore,5500,Poison_Spore,5500
Drops,Jellopy,7500,Rod_,80,Sticky_Mucus,500,Apple,1100,Empty_Bottle,1700,Apple,800,Orange_Juice,20,Drops_Card,1
Blue_Plant,Blue_Herb,5500,Flower,1000,Shoot,1000,Stem,500,Pointed_Scale,300,Mastela_Fruit,50,Grape,1000,Romantic_Leaf,2
Farmiliar,Bat_Tooth,5500,Falchion_,20,Ribbon_,15,Fly_Wing,50,Grape,100,Red_Herb,700,Concentration_Potion,50,Farmiliar_Card,1
Tarou,Rat_Tail,9000,Animal_Skin,3000,Soft_Fur,800,Monster_Feed,1000,Ora_Ora,2,Apple,0,Apple,0,Tarou_Card,1
Vocal,Romantic_Gent,500,Grasshopper_Leg,8000,Grasshopper_Leg,8000,Emerald,2500,Grasshopper_Doll,1500,Concentration_Potion,700,Apple,0,Vocal_Card,1
Shining_Plant,Blue_Herb,5500,Yellow_Herb,1000,White_Herb,1000,Illusion_Flower,5,Seed_Of_Yggdrasil,20,Honey,500,Yggdrasilberry,50,Emperium,1
Mandragora,Yellow_Live,50,Stem,9000,Spear_,30,Green_Herb,350,Shoot,300,Four_Leaf_Clover,3,Stem,100,Mandragora_Card,1
Eclipse,Cute_Ribbon,500,Red_Herb,8000,Opal,2500,Glass_Bead,1500,Four_Leaf_Clover,200,Rainbow_Carrot,50,Soft_Fur,5000,Eclipse_Card,1
Yoyo,Yoyo_Tail,9000,Banana,1500,Yellow_Herb,200,Cacao,900,Monkey_Doll,10,Oridecon_Stone,24,Strawberry,1000,Yoyo_Card,1
Smokie,Raccoon_Leaf,5500,Animal_Skin,5500,Sweet_Potato,800,Kitty_Band,1,Raccoondog_Doll,2,Zargon,5,Zircon,2,Smokie_Card,1
Choco,Claw_Of_Monkey,5335,Yoyo_Tail,7000,Elunium,53,Banana,5000,Tropical_Banana,20,Banana_Juice,1000,Yggdrasilberry,25,Choco_Card,1
Savage_Babe,Animal_Skin,9000,Axe_,100,Meat,500,Arrow,1000,Soft_Fur,850,Phracon,80,Sweet_Milk,40,Savage_Babe_Card,1
Desert_Wolf_B,Phracon,85,Animal_Skin,5500,Adventurer_Suit_,80,Meat,600,Cotton_Shirt,200,Apple,0,Orange,1000,Desert_Wolf_Babe_Card,1
Pecopeco_Egg,Phracon,250,Shell,1500,Guard_,2,Red_Herb,400,Red_Herb,400,Empty_Bottle,1800,White_Platter,10,Pecopeco_Egg_Card,1
Pecopeco,Bill_Of_Birds,9000,Sandals_,20,Yellow_Herb,200,Red_Herb,900,Wand,100,Apple,0,Orange,1000,Pecopeco_Card,1
Condor,Talon,9000,Bow_,150,Yellow_Gemstone,80,Arrow,5500,Meat,400,Bird_Feather,2000,Orange,600,Condor_Card,1
Picky,Bird_Feather,9000,Soft_Fur,700,Cotton_Shirt_,150,Red_Herb,550,Milk,300,Yellow_Gemstone,50,Apple,0,Picky_Card,1
Picky_,Bird_Feather,9000,Soft_Fur,700,Egg_Shell,10,Red_Herb,600,Milk,300,Yellow_Gemstone,50,Apple,0,Picky_Egg_Card,1
Red_Mushroom,Alchol,50,Karvodailnirol,50,Dew_Laden_Moss,20,Soft_Fur,2000,Boody_Red,1000,Mushroom_Spore,5500,Mushroom_Spore,5500,Poison_Spore,5500
Goblin_1,Iron,270,Scell,9000,Oridecon_Stone,43,Goblin_Mask,3,Dirk_,10,Buckler_,5,Red_Herb,1800,Goblin_Card,1
Goblin_2,Iron,250,Scell,9000,Indian_Hair_Piece,3,Flail_,10,Buckler_,1,Red_Herb,1550,Goblin_Mask,3,Goblin_Card,1
Goblin_3,Iron,230,Scell,9000,Red_Bandana,3,Goblin_Mask,15,Buckler_,1,Red_Herb,1550,Yellow_Herb,220,Goblin_Card,1
Goblin_4,Yellow_Live,100,Iron,170,Goblin_Mask,15,Gangster_Patch,3,Smasher_,10,Buckler_,1,Red_Herb,1500,Goblin_Card,1
Goblin_5,Iron,150,Scell,9000,Wand_,15,Buckler_,1,Goblin_Mask,15,Red_Herb,1500,Yellow_Herb,220,Goblin_Card,1
Goblin_Archer,Goblin_Mask,3,Iron,250,Scell,1000,Silver_Arrow,3000,Red_Herb,600,Composite_Bow_,25,Grape,300,Goblin_Archer_Card,1
Panzer_Goblin,Cyfar,4413,Brigan,3500,Steel,180,Iron,360,Coal,580,Battle_Axe_,5,Flame_Heart,160,Panzer_Goblin_Card,1
Steam_Goblin,Scell,2500,Cyfar,3880,Iron,300,Steel,55,Coal,320,Oridecon_Stone,50,Elunium_Stone,124,Steam_Goblin_Card,1
Rotar_Zairo,Large_Jellopy,500,Padded_Armor,1,Cyfar,1000,Steel,450,Oridecon,1,Zargon,2500,Garlet,5500,Rotar_Zairo_Card,1
Goblin_Leader,Brigan,1500,Steel,800,Oridecon_Stone,120,Goblin_Mask,50,Shield_,2,Yellow_Herb,650,Cyfar,8000,Goblin_Leader_Card,1
Yellow_Plant,Yellow_Herb,5500,Flower,1000,Shoot,1000,Stem,500,Pointed_Scale,300,Singing_Plant,5,Fluff,500,Romantic_Leaf,2
Savage,Wild_Boar_Mane,9000,Grape,300,Animal_Blood,2,Eagle_Eyes,1,Anodyne,10,Elunium_Stone,70,Royal_Jelly,2,Savage_Card,1
Wilow,Tree_Root,9000,Wooden_Trunk,100,Resin,1500,Sweet_Potato,700,Trunk_3,3500,Trunk_2,2000,Trunk_1,1000,Willow_Card,1
Spore,Mushroom_Spore,9000,Red_Herb,800,Blue_Herb,50,Spore_Doll,10,Hat,40,Poison_Spore,5,Strawberry,600,Spore_Card,1
Snake,Snake_Scales,9000,Katana_,15,Red_Herb,900,Emveretarcon,35,Venom_Canine,800,Shining_Scale,1,Strawberry,600,Snake_Card,1
Wolf,Emveretarcon,20,Wolf_Claw,9000,Mantle_,10,Meat,650,Monster_Feed,1050,Animal_Skin,5500,Strawberry,600,Wolf_Card,1
Marin,Garlet,3200,Sticky_Mucus,1500,Candy_Cane,100,Aquamarine,40,Blue_Herb,75,Candy,350,Poring_Hat,1,Marin_Card,1
Ghostring,Fabric,5335,Ghost_Bandana,100,Thief_Clothes_,50,Dead_Branch,500,Old_Blue_Box,10,Emperium,30,Fabric,100,Ghostring_Card,1
Mastering,Unicorn_Horn,500,Unripe_Apple,50,Pearl,1000,Poring_Doll,1000,Apple,8000,Phracon,5000,Apple_Juice,4000,Mastering_Card,1
Angeling,Angel_Wing,300,Scapulare_,60,Leaf_Of_Yggdrasil,500,Halo,50,White_Herb,2000,Apple,28,Emperium,40,Angeling_Card,1
Deviling,Petite_Diablo_Wing,3000,Zargon,4850,Evil_Wing,300,Apple,5000,Blade_Lost_In_Darkness,1,Black_Dyestuffs,100,Oridecon_Stone,500,Deviling_Card,1
Dragon_Tail,Dragon_Fly_Wing,4413,Round_Shell,400,Solid_Shell,800,Fancy_Flower,8,Cap,2,Fly_Wing,300,Butterfly_Wing,150,Dragon_Tail_Card,1
Poison_Spore,Poison_Spore,9000,Hat_,20,Green_Herb,550,Blue_Herb,60,Karvodailnirol,50,Mushroom_Spore,1200,Zargon,5,Poison_Spore_Card,1
Worm_Tail,,,,,,,,,,,,,,,,
Elder_Willow,,,,,,,,,,,,,,,,
Eggyra,,,,,,,,,,,,,,,,
Bigfoot,,,,,,,,,,,,,,,,
Sohee,,,,,,,,,,,,,,,,
Wander_Man,,,,,,,,,,,,,,,,
Greatest_General,,,,,,,,,,,,,,,,
Horong,,,,,,,,,,,,,,,,
Nine_Tail,,,,,,,,,,,,,,,,
Eddga,,,,,,,,,,,,,,,,
Thief_Bug_,,,,,,,,,,,,,,,,
Thief_Bug__,,,,,,,,,,,,,,,,
Golden_Bug,Gold,1000,Golden_Mace,150,Golden_Gear,250,Golden_Bell,500,Emperium,300,Elunium,2000,Oridecon,1500,Golden_Bug_Card,1
Vagabond_Wolf,,,,,,,,,,,,,,,,
Scorpion,,,,,,,,,,,,,,,,
Metaller,,,,,,,,,,,,,,,,
Magnolia,,,,,,,,,,,,,,,,
Andre,,,,,,,,,,,,,,,,
Deniro,,,,,,,,,,,,,,,,
Piere,,,,,,,,,,,,,,,,
Vitata,,,,,,,,,,,,,,,,
Giearth,,,,,,,,,,,,,,,,
Maya,,,,,,,,,,,,,,,,
