Element,Neutral,Earth,Water,Fire,Wind,Poison,Undead,Dark,Holy,Ghost,Special,None
Neutral1,100,100,100,100,100,105,100,100,100,50,100,0
Neutral2,100,100,100,100,100,105,100,100,100,25,100,0
Neutral3,100,100,100,100,100,105,100,100,100,5,100,0
Neutral4,100,100,100,100,100,105,100,100,100,0,100,0
Earth1,100,50,100,150,75,125,100,100,100,100,100,0
Earth2,100,25,100,175,50,120,100,100,100,100,100,0
Earth3,100,5,100,200,25,110,100,90,90,100,100,0
Earth4,100,0,100,200,0,100,100,80,80,100,100,0
Water1,100,100,50,75,150,100,100,100,100,100,100,0
Water2,100,100,25,50,175,80,100,100,100,100,100,0
Water3,100,100,0,25,200,60,100,90,90,100,100,0
Water4,100,100,0,0,200,40,100,80,80,100,100,0
Fire1,100,75,150,50,100,125,100,100,100,100,100,0
Fire2,100,50,175,25,100,120,100,100,100,100,100,0
Fire3,100,25,200,5,100,110,100,90,90,100,100,0
Fire4,100,0,200,0,100,100,100,80,80,100,100,0
Wind1,100,150,75,100,50,125,100,100,100,100,100,0
Wind2,100,175,50,100,25,120,100,100,100,100,100,0
Wind3,100,200,25,100,5,110,100,90,90,100,100,0
Wind4,100,200,0,100,0,100,100,80,80,100,100,0
Poison1,100,100,100,100,100,0,75,50,110,100,100,0
Poison2,100,100,100,100,100,0,50,25,120,80,100,0
Poison3,100,90,90,90,90,0,25,0,130,60,100,0
Poison4,100,80,80,80,80,0,0,0,140,40,100,0
Undead1,100,90,110,125,100,25,0,0,150,110,100,0
Undead2,100,80,120,150,100,5,0,0,175,130,100,0
Undead3,100,70,130,175,100,0,0,0,200,150,100,0
Undead4,100,60,140,200,100,0,0,0,200,170,100,0
Dark1,100,100,100,100,100,80,50,0,125,75,100,0
Dark2,100,90,90,90,90,70,25,0,150,50,100,0
Dark3,100,80,80,80,80,60,0,0,175,25,100,0
Dark4,100,70,70,70,70,50,0,0,200,0,100,0
Holy1,100,80,80,80,80,108,125,125,0,80,100,0
Holy2,100,60,60,60,60,112,150,150,0,60,100,0
Holy3,100,40,40,40,40,116,175,175,0,40,100,0
Holy4,100,20,20,20,20,120,200,200,0,20,100,0
Ghost1,75,100,100,100,100,100,110,100,100,150,100,0
Ghost2,50,100,100,100,100,90,120,100,100,170,100,0
Ghost3,25,100,100,100,100,80,130,100,100,190,100,0
Ghost4,0,100,100,100,100,70,140,100,100,200,100,0
None,100,100,100,100,100,100,100,100,100,100,100,0
