Level,Experience
1,8
2,10
3,14
4,21
5,30
6,48
7,73
8,107
9,150
10,205
11,271
12,350
13,444
14,553
15,680
16,824
17,987
18,1171
19,1376
20,1605
21,1857
22,2134
23,2438
24,2769
25,3130
26,3520
27,3941
28,4395
29,4882
30,5405
31,5963
32,6558
33,7192
34,7865
35,8580
36,9336
37,10135
38,10979
39,11868
40,12805
41,13789
42,14822
43,15906
44,17041
45,18230
46,19472
47,20769
48,22123
49,23534
50,25005
51,26535
52,28126
53,29780
54,31497
55,33280
56,35128
57,37043
58,39027
59,41080
60,43205
61,45401
62,47670
63,50014
64,52433
65,54930
66,57504
67,60157
68,62891
69,65706
70,68605
71,71587
72,74654
73,77808
74,81049
75,84380
76,87800
77,91311
78,94915
79,98612
80,102405
81,116922
82,132333
83,148669
84,165962
85,184242
86,203542
87,223896
88,245334
89,267893
90,291605
91,316504
92,342627
93,370009
94,398685
95,428692
96,460067
97,492848
98,527072
99,562778
