JobLvl,Novice,FirstJob,SecondJob
1,2,10,70
2,4,12,83
3,7,15,103
4,11,19,130
5,19,27,184
6,26,34,231
7,39,46,311
8,57,61,410
9,90,86,575
10,-1,102,679
11,-1,135,893
12,-1,160,1054
13,-1,201,1316
14,-1,267,1735
15,-1,342,2207
16,-1,412,2643
17,-1,559,3552
18,-1,674,4255
19,-1,913,5703
20,-1,1101,6827
21,-1,1326,8160
22,-1,1499,9174
23,-1,1918,11612
24,-1,2312,13875
25,-1,2959,17550
26,-1,3788,22193
27,-1,4849,28049
28,-1,5843,33453
29,-1,8356,46945
30,-1,9024,50456
31,-1,10423,57756
32,-1,12039,66093
33,-1,13905,75608
34,-1,16060,86466
35,-1,20958,110844
36,-1,24207,126691
37,-1,29775,153500
38,-1,36623,185900
39,-1,47793,237811
40,-1,51617,255189
41,-1,63489,308665
42,-1,68568,331107
43,-1,79196,377638
44,-1,97411,456194
45,-1,114945,530279
46,-1,127015,580393
47,-1,159404,713265
48,-1,176141,780334
49,-1,221057,958094
50,-1,243572,1045051
51,-1,267613,1136738
52,-1,274918,1164250
53,-1,318466,1327360
54,-1,346889,1431873
55,-1,398089,1617853
56,-1,454698,1819796
57,-1,516901,2037764
58,-1,556521,2174172
59,-1,685078,2611675
60,-1,698848,2657286
61,-1,745810,2812044
62,-1,793579,2967739
63,-1,841908,3123573
64,-1,890529,3278707
65,-1,1008613,3651631
66,-1,1060506,3812369
67,-1,1148316,4081736
68,-1,1237196,4350625
69,-1,1363390,4727331
70,-1,-1,-1
