Type,Code,Chance
Old_Blue_Box,Red_Potion,6
Old_Blue_Box,Orange_Potion,5
Old_Blue_Box,Yellow_Potion,5
Old_Blue_Box,White_Potion,5
Old_Blue_Box,Blue_Potion,3
Old_Blue_Box,Green_Potion,5
Old_Blue_Box,Red_Herb,11
Old_Blue_Box,Yellow_Herb,10
Old_Blue_Box,White_Herb,10
Old_Blue_Box,Blue_Herb,5
Old_Blue_Box,Green_Herb,10
Old_Blue_Box,Apple,10
Old_Blue_Box,Banana,9
Old_Blue_Box,Grape,10
Old_Blue_Box,Carrot,10
Old_Blue_Box,Potato,10
Old_Blue_Box,Meat,5
Old_Blue_Box,Honey,2
Old_Blue_Box,Milk,2
Old_Blue_Box,Hinalle_Leaflet,2
Old_Blue_Box,Aloe_Leaflet,2
Old_Blue_Box,Holy_Water,3
Old_Blue_Box,Panacea,2
Old_Blue_Box,Royal_Jelly,1
Old_Blue_Box,Monster's_Feed,3
Old_Blue_Box,Candy,2
Old_Blue_Box,Candy_Cane,2
Old_Blue_Box,Apple_Juice,3
Old_Blue_Box,Banana_Juice,3
Old_Blue_Box,Grape_Juice,3
Old_Blue_Box,Carrot_Juice,3
Old_Blue_Box,Pumpkin,5
Old_Blue_Box,Ice_Cream,2
Old_Blue_Box,Pet_Food,2
Old_Blue_Box,Raw_Fish,4
Old_Blue_Box,Fly_Wing,10
Old_Blue_Box,Butterfly_Wing,10
Old_Blue_Box,Old_Blue_Box,40
Old_Blue_Box,Dead_Branch,1
Old_Blue_Box,Anodyne,2
Old_Blue_Box,Aloevera,2
Old_Blue_Box,Yggdrasil_Berry,1
Old_Blue_Box,Yggdrasil_Seed,1
Old_Blue_Box,Yggdrasil_Leaf,1
Old_Blue_Box,Magnifier,10
Old_Blue_Box,Mini_Furnace,5
Old_Blue_Box,Iron_Hammer,3
Old_Blue_Box,Golden_Hammer,2
Old_Blue_Box,Oridecon_Hammer,1
Old_Blue_Box,Unripe_Apple,2
Old_Blue_Box,Orange_Juice,2
Old_Blue_Box,Bitter_Herb,2
Old_Blue_Box,Rainbow_Carrot,2
Old_Blue_Box,Earthworm_the_Dude,2
Old_Blue_Box,Rotten_Fish,2
Old_Blue_Box,Rusty_Iron,2
Old_Blue_Box,Monster_Juice,2
Old_Blue_Box,Sweet_Milk,2
Old_Blue_Box,Well-Dried_Bone,2
Old_Blue_Box,Singing_Flower,2
Old_Blue_Box,Dew_Laden_Moss,2
Old_Blue_Box,Deadly_Noxious_Herb,2
Old_Blue_Box,Fatty_Chubby_Earthworm,2
Old_Blue_Box,Sweet_Potato,2
Old_Blue_Box,Tropical_Banana,2
Old_Blue_Box,Orc_Trophy,2
Old_Blue_Box,No_Recipient,2
Old_Blue_Box,Old_Broom,2
Old_Blue_Box,Silver_Knife_of_Chastity,2
Old_Blue_Box,Armlet_of_Obedience,2
Old_Blue_Box,Shining_Stone,2
Old_Blue_Box,Contract_in_Shadow,2
Old_Blue_Box,Book_of_the_Devil,2
Old_Blue_Box,Pet_Incubator,2
Old_Blue_Box,Concentration_Potion,2
Old_Blue_Box,Awakening_Potion,2
Old_Blue_Box,Berserk_Potion,2
Old_Blue_Box,Her_Heart,2
Old_Blue_Box,Ora_Ora,1
Old_Blue_Box,Animal_Gore,1
Old_Blue_Box,Hinalle,1
Old_Blue_Box,Aloe,1
Old_Blue_Box,Clover,1
Old_Blue_Box,Four_Leaf_Clover,1
Old_Blue_Box,Singing_Plant,1
Old_Blue_Box,Ment,1
Old_Blue_Box,Illusion_Flower,1
Old_Blue_Box,Shoot,10
Old_Blue_Box,Flower,10
Old_Blue_Box,Empty_Bottle,10
Old_Blue_Box,Emperium,1
Old_Blue_Box,Yellow_Gemstone,7
Old_Blue_Box,Red_Gemstone,7
Old_Blue_Box,Blue_Gemstone,7
Old_Blue_Box,Garnet,2
Old_Blue_Box,Amethyst,2
Old_Blue_Box,Aquamarine,2
Old_Blue_Box,Emerald,2
Old_Blue_Box,Pearl,2
Old_Blue_Box,Ruby,2
Old_Blue_Box,Cursed_Ruby,1
Old_Blue_Box,Sardonyx,2
Old_Blue_Box,Sapphire,2
Old_Blue_Box,Opal,2
Old_Blue_Box,Topaz,2
Old_Blue_Box,Zircon,2
Old_Blue_Box,1_Carat_Diamond,2
Old_Blue_Box,2_Carat_Diamond,1
Old_Blue_Box,3_Carat_Diamond,1
Old_Blue_Box,Cracked_Diamond,1
Old_Blue_Box,Red_Frame,3
Old_Blue_Box,Chung_Jah,3
Old_Blue_Box,China,3
Old_Blue_Box,Black_Ladle,3
Old_Blue_Box,Pencil_Case,2
Old_Blue_Box,Puppet,1
Old_Blue_Box,Poring_Doll,1
Old_Blue_Box,Chonchon_Doll,1
Old_Blue_Box,Spore_Doll,1
Old_Blue_Box,Bouquet,10
