Id,Code,Name,Weight,Price,IsUnique,IsUseable,ItemClass,Effect,Sprite,Comment
501,Red_Potion,Red Potion,70,50,FALSE,TRUE,Useable,RedPotion,빨간포션,
502,Orange_Potion,Orange Potion,100,200,FALSE,TRUE,Useable,OrangePotion,주홍포션,
503,Yellow_Potion,Yellow Potion,130,550,FALSE,TRUE,Useable,YellowPotion,노란포션,
504,White_Potion,White Potion,150,1200,FALSE,TRUE,Useable,WhitePotion,하얀포션,
505,Blue_Potion,Blue Potion,150,5000,FALSE,TRUE,Useable,BluePotion,파란포션,
506,Green_Potion,Green Potion,70,40,FALSE,TRUE,Useable,GreenPotion,초록포션,
507,Red_Herb,Red Herb,30,18,FALSE,TRUE,Useable,RedPotion,빨간허브,
508,Yellow_Herb,Yellow Herb,50,40,FALSE,TRUE,Useable,YellowPotion,노란허브,
509,White_Herb,White Herb,70,120,FALSE,TRUE,Useable,WhitePotion,하얀허브,
510,Blue_Herb,Blue Herb,70,60,FALSE,TRUE,Useable,BluePotion,파란허브,
511,Green_Herb,Green Herb,30,10,FALSE,TRUE,Useable,GreenPotion,초록허브,
512,Apple,Apple,20,15,FALSE,TRUE,Useable,FruitHp,사과,
513,Banana,Banana,20,15,FALSE,TRUE,Useable,FruitHp,바나나,
514,Grape,Grape,20,200,FALSE,TRUE,Useable,FruitSp,포도,
515,Carrot,Carrot,20,15,FALSE,TRUE,Useable,FruitHp,당근,
516,Sweet_Potato,Sweet Potato,20,15,FALSE,TRUE,Useable,FruitHp,고구마,
517,Meat,Meat,150,50,FALSE,TRUE,Useable,FruitHp,고기,
518,Honey,Honey,100,500,FALSE,TRUE,Useable,FruitHp,꿀,
519,Milk,Milk,30,25,FALSE,TRUE,Useable,HealLow,우유,
520,Hinalle_Leaflet,Hinalle Leaflet,10,150,FALSE,TRUE,Useable,HealLow,히나레의잎사귀,
521,Aloe_Leaflet,Aloe Leaflet,20,360,FALSE,TRUE,Useable,HealLow,알로에잎사귀,
522,Mastela_Fruit,Mastela Fruit,30,8500,FALSE,TRUE,Useable,HealLow,마스테라의열매,
523,Holy_Water,Holy Water,30,20,FALSE,FALSE,Useable,,성수,
525,Panacea,Panacea,100,500,FALSE,TRUE,Useable,,만능약,
526,Royal_Jelly,Royal Jelly,150,7000,FALSE,TRUE,Useable,HealLow,로얄제리,
528,Monster_Feed,Monster Feed,150,60,FALSE,TRUE,Useable,HealLow,괴물의먹이,
529,Candy,Candy,30,10,FALSE,TRUE,Useable,FruitHp,사탕,
530,Candy_Cane,Candy Cane,40,20,FALSE,TRUE,Useable,FruitHp,막대사탕,
531,Apple_Juice,Apple Juice,40,20,FALSE,TRUE,Useable,FruitHp,사과쥬스,
532,Banana_Juice,Banana Juice,40,20,FALSE,TRUE,Useable,FruitHp,바나나쥬스,
533,Grape_Juice,Grape Juice,40,250,FALSE,TRUE,Useable,FruitSp,포도쥬스,
534,Carrot_Juice,Carrot Juice,40,20,FALSE,TRUE,Useable,FruitHp,당근쥬스,
535,Pumpkin,Pumpkin,20,15,FALSE,TRUE,Useable,FruitHp,호박,
536,Ice_Cream,Ice Cream,80,150,FALSE,TRUE,Useable,HealLow,아이스크림,
537,Pet_Food,Pet Food,10,1000,FALSE,TRUE,Useable,HealLow,괴물의먹이,
538,Well_Baked_Cookie,Well-Baked Cookie,30,1000,FALSE,TRUE,Useable,HealLow,잘구운쿠키,
539,Piece_Of_Cake,Piece of Cake,100,3000,FALSE,TRUE,Useable,HealLow,조각케이크,
544,Fish_Slice,Raw Fish,30,20,FALSE,TRUE,Useable,HealLow,회,
578,Strawberry,Strawberry,20,200,FALSE,TRUE,Useable,FruitSp,딸기,
582,Orange,Orange,20,300,FALSE,TRUE,Useable,FruitSp,오렌지,
601,Fly_Wing,Fly Wing,70,200,FALSE,FALSE,Useable,,파리의날개,switch to usable when implemented
602,Butterfly_Wing,Butterfly Wing,70,300,FALSE,FALSE,Useable,,나비의날개,
603,Old_Blue_Box,Old Blue Box,200,10000,FALSE,FALSE,Useable,,오래된파란상자,
604,Dead_Branch,Dead Branch,50,50,FALSE,FALSE,Useable,,고목나무가지,
605,Anodyne,Anodyne,100,2000,FALSE,FALSE,Useable,,안티페인멘트,
606,Aloebera,Aloevera,100,1500,FALSE,FALSE,Useable,,알로에베라,
607,Yggdrasilberry,Yggdrasil Berry,300,5000,FALSE,FALSE,Useable,,이그드라실열매,
608,Seed_Of_Yggdrasil,Yggdrasil Seed,300,5000,FALSE,FALSE,Useable,,이그드라실씨앗,
609,Amulet,Amulet,100,100,FALSE,FALSE,Useable,,반혼부,
610,Yggdrasil_Leaf,Yggdrasil Leaf,100,4000,FALSE,FALSE,Useable,,이그드라실잎,
611,Magnifier,Magnifier,50,40,FALSE,FALSE,Useable,,돋보기,
616,Old_Card_Album,Old Card Album,50,10000,FALSE,FALSE,Useable,,낡은카드첩,
617,Old Purple Box,Old Purple Box,200,10000,FALSE,FALSE,Useable,,오래된보라상자,
618,Worn_Out_Scroll,Worn Out Scroll,20,50,FALSE,FALSE,Etc,,낡은두루마리,
619,Unripe_Apple,Unripe Apple,50,1000,FALSE,FALSE,Etc,,덜익은사과,"Pet items, will be usable in the future (maybe)"
620,Orange_Juice,Orange Juice,50,1500,FALSE,FALSE,Etc,,오렌지쥬스,
621,Bitter_Herb,Bitter Herb,50,20,FALSE,FALSE,Etc,,쓰디쓴풀,
622,Rainbow_Carrot,Rainbow Carrot,50,2500,FALSE,FALSE,Etc,,무지개당근,
623,Earthworm_The_Dude,Earthworm the Dude,50,4000,FALSE,FALSE,Etc,,멋쟁이지렁이,
624,Rotten_Fish,Rotten Fish,50,2500,FALSE,FALSE,Etc,,썩은생선,
625,Lusty_Iron,Rusty Iron,50,100,FALSE,FALSE,Etc,,녹슬어버린철,
626,Monster_Juice,Monster Juice,50,1500,FALSE,FALSE,Etc,,몬스터쥬스,
627,Sweet_Milk,Sweet Milk,50,7000,FALSE,FALSE,Etc,,달콤한우유,
628,Well_Dried_Bone,Well-Dried Bone,50,10000,FALSE,FALSE,Etc,,말린뼈다귀,
629,Singing_Flower,Singing Flower,50,300,FALSE,FALSE,Etc,,노래하는꽃,
630,Dew_Laden_Moss,Dew Laden Moss,50,10,FALSE,FALSE,Etc,,아침이슬이끼,
631,Deadly_Noxious_Herb,Deadly Noxious Herb,50,20,FALSE,FALSE,Etc,,맹독초,
632,Fatty_Chubby_Earthworm,Fatty Chubby Earthworm,50,5000,FALSE,FALSE,Etc,,토실토실지렁이,
633,Baked_Yam,Sweet Potato,50,20,FALSE,FALSE,Etc,,구운고구마,
634,Tropical_Banana,Tropical Banana,50,20,FALSE,FALSE,Etc,,열대의바나나,
635,Horror_Of_Tribe,Orc Trophy,50,300,FALSE,FALSE,Etc,,조직의쓴맛,
636,No_Recipient,No Recipient,50,100,FALSE,FALSE,Etc,,수취인불명,
637,Old_Broom,Old Broom,50,350,FALSE,FALSE,Etc,,헌빗자루,
638,Silver_Knife_Of_Chaste,Silver Knife of Chastity,50,12000,FALSE,FALSE,Etc,,순결의은장도,
639,Armlet_Of_Obedience,Armlet of Obedience,50,18000,FALSE,FALSE,Etc,,복종의팔찌,
640,Shining_Stone,Shining Stone,50,3000,FALSE,FALSE,Etc,,반짝이는돌,
641,Contracts_In_Shadow,Contract in Shadow,50,100,FALSE,FALSE,Etc,,어둠의계약서,
642,Book_Of_Devil,Book of the Devil,50,1800,FALSE,FALSE,Etc,,악마소환서,
643,Pet_Incubator,Pet Incubator,30,3000,FALSE,FALSE,Etc,,알부화기,
644,Gift_Box,Gift Box,200,1000,FALSE,FALSE,Etc,,선물상자,
645,Concentration_Potion,Concentration Potion,100,800,FALSE,FALSE,Etc,,집중포션,
656,Awakening_Potion,Awakening Potion,150,1500,FALSE,FALSE,Etc,,각성포션,
657,Berserk_Potion,Berserk Potion,200,3000,FALSE,FALSE,Etc,,버서크포션,
658,Union_Of_Tribe,Union of Tribe,500,2,FALSE,FALSE,Etc,,조직의단결력,
659,Heart_Of_Her,Her Heart,50,500,FALSE,FALSE,Etc,,그녀의마음,
660,Prohibition_Red_Candle,Forbidden Red Candle,50,20000,FALSE,FALSE,Etc,,금단의붉은양초,
661,Sway_Apron,Soft Apron,50,20000,FALSE,FALSE,Etc,,하늘하늘앞치마,
662,Inspector_Certificate,Authoritative Badge,30,1450,FALSE,FALSE,Etc,,마패,
701,Ora_Ora,Ora Ora,200,55000,FALSE,FALSE,Etc,,오라오라,
702,Animal_Blood,Animal Gore,100,450,FALSE,FALSE,Etc,,가축의피,
703,Hinalle,Hinalle,10,500,FALSE,FALSE,Etc,,히나레,
704,Aloe,Aloe,10,500,FALSE,FALSE,Etc,,알로에,
705,Clover,Clover,10,10,FALSE,FALSE,Etc,,클로버,
706,Four_Leaf_Clover,Four Leaf Clover,10,80000,FALSE,FALSE,Etc,,네잎클로버,
707,Singing_Plant,Singing Plant,10,500,FALSE,FALSE,Etc,,노래하는풀,
708,Ment,Ment,10,500,FALSE,FALSE,Etc,,멘트,
709,Izidor,Izidor,10,500,FALSE,FALSE,Etc,,이지도르,
710,Illusion_Flower,Illusion Flower,10,1000,FALSE,FALSE,Etc,,환상의꽃,
711,Shoot,Shoot,10,16,FALSE,FALSE,Etc,,새싹,
712,Flower,Flower,10,2,FALSE,FALSE,Etc,,꽃,
713,Empty_Bottle,Empty Bottle,20,6,FALSE,FALSE,Etc,,빈병,
714,Emperium,Emperium,1000,2,FALSE,FALSE,Etc,,엠펠리움,
715,Yellow_Gemstone,Yellow Gemstone,30,600,FALSE,FALSE,Etc,,옐로우젬스톤,
716,Red_Gemstone,Red Gemstone,30,600,FALSE,FALSE,Etc,,레드젬스톤,
717,Blue_Gemstone,Blue Gemstone,30,600,FALSE,FALSE,Etc,,블루젬스톤,
718,Garnet,Garnet,100,6000,FALSE,FALSE,Etc,,검붉은보석,Dark_Red_Jewel
719,Amethyst,Amethyst,100,6000,FALSE,FALSE,Etc,,보라색보석,Violet_Jewel
720,Aquamarine,Aquamarine,100,6000,FALSE,FALSE,Etc,,하늘색보석,Skyblue_Jewel
721,Emerald,Emerald,100,6000,FALSE,FALSE,Etc,,초록색보석,Azure_Jewel
722,Pearl,Pearl,100,6000,FALSE,FALSE,Etc,,분홍색보석,Scarlet_Jewel
723,Ruby,Ruby,100,6000,FALSE,FALSE,Etc,,진홍색보석,Cardinal_Jewel
724,Cursed Ruby,Cursed Ruby,100,600,FALSE,FALSE,Etc,,진홍색보석,Cardinal_Jewel_
725,Sardonyx,Sardonyx,100,6000,FALSE,FALSE,Etc,,붉은색보석,Red_Jewel
726,Sapphire,Sapphire,100,6000,FALSE,FALSE,Etc,,파란색보석,Blue_Jewel
727,Opal,Opal,100,6000,FALSE,FALSE,Etc,,하얀색보석,White_Jewel
728,Topaz,Topaz,100,6000,FALSE,FALSE,Etc,,노란색보석,Golden_Jewel
729,Zircon,Zircon,100,6000,FALSE,FALSE,Etc,,청록색보석,Bluish_Green_Jewel
730,1_Carat_Diamond,1 Carat Diamond,100,10000,FALSE,FALSE,Etc,,투명한보석,Crystal_Jewel
731,2_Carat_Diamond,2 Carat Diamond,100,25000,FALSE,FALSE,Etc,,투명한보석,Crystal_Jewel_
732,3_Carat_Diamond,3 Carat Diamond,100,55000,FALSE,FALSE,Etc,,투명한보석,Crystal_Jewel__
733,Cracked Diamond,Cracked Diamond,100,10,FALSE,FALSE,Etc,,투명한보석,Crystal_Jewel___
734,Red_Frame,Red Frame,200,3000,FALSE,FALSE,Etc,,붉은액자,
735,Blue_Porcelain,Chung Jah,500,5000,FALSE,FALSE,Etc,,푸른도자기,
736,White_Platter,China,300,1000,FALSE,FALSE,Etc,,하얀접시,
737,Black_Ladle,Black Ladle,50,400,FALSE,FALSE,Etc,,검은국자,
738,Pencil_Case,Pencil Case,100,400,FALSE,FALSE,Etc,,연필꽃이,
739,Rouge,Rouge,10,10000,FALSE,FALSE,Etc,,화장품,
740,Stuffed_Doll,Puppet,100,3000,FALSE,FALSE,Etc,,봉제인형,Stuffed_Doll
741,Poring_Doll,Poring Doll,100,1000,FALSE,FALSE,Etc,,포링인형,
742,Chonchon_Doll,Chonchon Doll,100,1800,FALSE,FALSE,Etc,,촌촌인형,
743,Spore_Doll,Spore Doll,100,5500,FALSE,FALSE,Etc,,스포아인형,
744,Bunch_Of_Flowers,Bouquet,50,2000,FALSE,FALSE,Etc,,꽃다발,Bunch_Of_Flowers
745,Wedding_Bouquet,Wedding Bouquet,50,12000,FALSE,FALSE,Etc,,부케,
746,Glass_Bead,Glass Bead,50,1400,FALSE,FALSE,Etc,,유리구슬,
747,Crystal_Mirror,Crystal Mirror,50,15000,FALSE,FALSE,Etc,,수정거울,
748,Witherless_Rose,Witherless Rose,10,55000,FALSE,FALSE,Etc,,시들지않는장미,
749,Frozen_Rose,Frozen Rose,10,35000,FALSE,FALSE,Etc,,얼음장미,
