Level,Novice,Swordsman,Mage,Archer,Acolyte,Merchant,Thief,Knight,Priest,Wizard,Blacksmith,Hunter,Assassin,Crusader,Rogue,Sage,Alchemist,Monk,Bard,Dancer,Taekwon,Star,Linker,Gunslinger,Ninja
1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,45,46,46,46,46,46,46,48,47,46,47,47,47,47,47,47,47,47,47,47,46,47,47,47,47
3,50,53,52,53,52,52,53,58,54,53,55,55,55,56,55,54,55,55,54,54,53,55,54,54,54
4,55,61,58,60,59,59,60,69,62,60,64,63,64,62,63,62,64,64,62,62,61,64,62,61,61
5,60,70,65,68,66,66,68,82,71,68,74,72,75,81,72,71,74,74,71,71,70,74,71,69,69
6,65,79,72,76,73,73,76,96,81,76,84,82,87,94,82,81,84,84,81,81,79,84,81,77,77
7,70,89,79,85,81,81,85,112,91,85,95,93,100,108,93,91,95,95,91,91,89,95,91,85,85
8,75,100,86,94,89,89,94,129,102,94,107,105,114,128,105,102,107,107,102,102,100,107,102,94,94
9,80,111,94,104,98,98,104,148,114,104,120,118,129,147,118,114,120,120,114,114,111,120,114,103,103
10,85,123,102,114,107,107,114,168,127,115,134,132,145,165,132,127,134,134,127,127,123,134,127,202,202
11,90,136,110,125,116,116,125,190,140,126,149,146,162,184,146,140,149,149,140,140,136,149,140,212,212
12,95,149,119,136,126,126,136,213,154,138,165,161,180,204,161,154,165,165,154,154,149,165,154,222,222
13,100,163,128,148,136,136,148,238,169,150,182,177,199,225,177,169,182,182,169,169,163,182,169,232,232
14,105,178,137,160,147,147,160,264,185,163,200,194,219,247,194,185,200,200,180,180,178,200,185,243,243
15,110,194,147,173,158,158,173,292,201,176,219,212,241,271,212,201,219,219,196,196,194,219,201,254,254
16,115,210,157,186,169,169,186,321,218,190,238,231,264,296,231,218,238,238,212,212,210,238,218,265,265
17,120,227,167,200,181,181,200,352,236,204,258,250,288,322,250,236,258,258,224,224,227,258,236,277,277
18,125,245,177,214,193,193,214,384,255,219,279,270,313,349,270,255,279,306,242,242,245,306,255,289,289
