Job,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Novice,0,luk,dex,0,agi,vit,0,str,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swordsman,0,str,0,0,0,vit,0,0,0,dex,0,0,0,str,0,0,0,vit,0,0,0,dex,0,0,0,luk,0,0,0,agi,0,0,str,0,0,dex,0,vit,0,str,0,vit,0,luk,0,agi,str,0,str,str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acolyte,0,luk,0,0,0,vit,0,0,0,int,0,0,0,dex,0,0,0,luk,0,0,0,agi,0,0,0,str,0,0,0,vit,0,0,int,0,0,dex,0,luk,0,agi,0,str,0,vit,0,int,dex,0,str,luk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mage,0,int,0,0,0,dex,0,0,0,dex,0,0,0,int,0,0,0,agi,0,0,0,int,0,0,0,agi,0,0,0,luk,0,0,int,0,0,dex,0,int,0,agi,0,luk,0,int,0,int,agi,0,luk,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchant,0,vit,0,0,0,dex,0,0,0,str,0,0,0,dex,0,0,0,vit,0,0,0,str,0,0,0,int,0,0,0,vit,0,0,agi,0,0,luk,0,dex,0,str,0,dex,0,str,0,luk,vit,0,str,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archer,0,dex,0,0,0,str,0,0,0,int,0,0,0,dex,0,0,0,dex,0,0,0,luk,0,0,0,agi,0,0,0,dex,0,0,agi,0,0,dex,0,str,0,str,0,dex,0,luk,0,vit,int,0,agi,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thief,0,agi,0,0,0,str,0,0,0,dex,0,0,0,vit,0,0,0,int,0,0,0,dex,0,0,0,luk,0,0,0,str,0,0,agi,0,0,agi,0,str,0,luk,0,dex,0,vit,0,luk,str,0,dex,agi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knight,vit,0,vit,str,luk,0,0,vit,0,str,dex,vit,agi,0,str,0,vit,vit,dex,luk,str,0,vit,0,0,0,str,luk,vit,0,dex,0,str,0,0,vit,luk,agi,0,dex,0,0,vit,0,0,str,str,dex,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wizard,int,dex,0,int,dex,agi,0,0,int,agi,0,str,dex,0,luk,0,0,int,0,0,0,int,0,agi,0,dex,0,0,int,0,int,dex,int,agi,0,luk,0,vit,dex,int,agi,0,agi,0,int,agi,agi,int,0,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blacksmith,dex,0,str,dex,dex,0,vit,str,dex,0,luk,dex,vit,0,0,str,0,0,dex,vit,int,0,str,0,0,dex,0,dex,agi,0,str,vit,0,int,0,dex,vit,agi,dex,dex,0,0,0,str,0,luk,dex,0,vit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin,agi,agi,agi,int,0,vit,0,vit,dex,0,str,0,0,int,agi,agi,agi,agi,agi,agi,agi,0,0,dex,str,0,str,0,0,dex,dex,str,0,0,0,0,0,int,0,dex,dex,int,0,0,str,dex,0,str,0,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter,dex,0,int,dex,luk,str,0,dex,0,str,str,agi,0,dex,luk,0,vit,0,agi,agi,dex,0,vit,0,0,0,dex,0,luk,0,agi,0,dex,int,0,0,0,dex,agi,0,int,luk,dex,str,0,int,agi,0,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priest,luk,0,luk,str,0,agi,vit,int,int,luk,str,0,0,vit,0,dex,str,0,0,dex,luk,int,0,0,dex,0,str,0,agi,0,luk,dex,0,vit,str,vit,agi,0,luk,0,0,int,int,0,vit,0,0,agi,0,luk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crusader,luk,luk,luk,luk,luk,0,str,0,int,0,str,vit,0,dex,vit,0,str,0,0,int,int,vit,str,0,str,0,0,dex,0,agi,0,str,0,dex,int,agi,0,int,0,vit,vit,0,0,int,0,vit,0,str,0,vit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogue,agi,vit,dex,0,str,vit,agi,0,vit,0,dex,0,0,vit,vit,agi,0,dex,0,dex,0,0,agi,0,str,vit,str,0,agi,str,0,0,dex,dex,0,str,0,int,agi,0,0,str,int,0,agi,0,int,int,0,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage,int,0,agi,vit,0,agi,0,int,0,0,vit,0,agi,0,int,0,luk,vit,0,dex,0,agi,0,int,dex,0,dex,0,0,int,0,dex,agi,0,luk,0,int,int,dex,luk,0,str,0,str,int,str,str,str,0,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchemist,int,dex,dex,0,0,str,0,dex,int,0,agi,0,dex,agi,str,0,int,0,dex,vit,dex,0,int,int,dex,str,0,dex,int,0,vit,dex,0,str,0,vit,0,int,0,agi,0,0,str,0,agi,0,0,0,agi,agi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monk,str,str,0,dex,agi,0,vit,0,0,agi,0,str,str,0,luk,int,0,agi,0,vit,agi,dex,agi,0,vit,str,str,0,0,dex,0,luk,vit,0,agi,0,0,int,0,luk,vit,0,dex,agi,0,vit,0,0,str,str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bard,dex,agi,str,0,int,luk,dex,0,luk,agi,agi,0,int,0,dex,dex,vit,0,dex,luk,int,0,0,agi,0,0,0,str,0,agi,0,dex,vit,0,agi,0,0,dex,0,int,luk,0,vit,0,0,dex,int,agi,0,dex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dancer,luk,agi,str,0,int,dex,luk,0,dex,agi,agi,0,int,0,luk,dex,vit,0,luk,dex,int,0,0,agi,0,0,0,str,0,agi,0,luk,vit,0,agi,0,0,luk,0,int,dex,0,vit,0,0,luk,int,agi,0,luk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
