Name,Item1,Chance1,Item2,Chance2,Item3,Chance3,Item4,Chance4
EDDGA,,,,,,,,
GOLDEN_BUG,Gold_Ring,5500,Ora_Ora,3000,Golden_Hammer,1000,Decorative_Golden_Bell,500
MAYA,1_Carat_Diamond,2000,Old_Blue_Box,3000,Old_Purple_Box,2000,,
PHREEONI,Necklace_of_Oblivion,500,1_Carat_Diamond,1000,Star_Crumb,3000,,
MISTRESS,,,,,,,,
ORC_LORD,,,,,,,,
ORK_HERO,,,,,,,,
OSIRIS,,,,,,,,
AMON_RA,Yggdrassil_Berry#1-2,5500,Yggdrassil_Seed#1-2,3500,3_Carat_Diamond,5500,,
MOONLIGHT,Rough_Wind,1500,Royal_Jelly#2-5,4000,Pearl,3000,,
BAPHOMET,,,,,,,,
DRACULA,Yggdrassil_Berry#1-2,3000,3_Carat_Diamond,4000,Fruit_Of_Mastela#2-8,3000,,
DOPPELGANGER,Cursed_Ruby,5000,Blue_Potion#1-5,4000,,,,
PHARAOH,Yggdrassil_Berry#1-2,5500,Royal_Jelly#1-3,5000,3_Carat_Diamond,5000,,
DARK_LORD,,,,,,,,
DRAKE,,,,,,,,
TURTLE_GENERAL,,,,,,,,
KNIGHT_OF_WINDSTORM,,,,,,,,
TAO_GUNKA,,,,,,,,
RANDGRIS,Old_Blue_Box,4500,Old_Purple_Box,4500,Old_Card_Album,1000,,
INCANTATION_SAMURAI,,,,,,,,
