Id,Name,Map,X,Y,Area
0,Prontera Southwest Benches,prontera,116,72,5
1,Prontera South,prontera,151,33,5
2,Prontera East,prontera,279,200,5
3,Prontera West,prontera,33,207,5
4,Alberta North,alberta,31,231,5
5,Alberta South,alberta,117,56,3
6,Morroc North,morocc,190,283,5
7,Morroc South,morocc,156,46,5
8,Geffen South,geffen,120,38,5
9,Payon South,payon,161,58,5
10,Payon North,payon,257,241,5
11,Archer Village,pay_arche,65,138,5
12,Comodo,comodo,180,151,5
12,Aldebaran,aldebaran,168,112,5
13,South of Prontera,prt_fild08,160,353,5
14,Prontera North,prontera,156,326,5
14,Izlude,izlude,94,103,5

