Class,Unarmed,Dagger,Sword,2HSword,Spear,2HSpear,Axe,2HAxe,Mace,2HMace,Rod,2HRod,Bow,Instrument,Whip,Book,Katar,Pistol,Rifle,GatlingGun,Shotgun,Grenade,Shuriken
Novice,1,1.3,1.4,4,4,4,1.6,4,1.4,1.4,1.3,1.3,4,4,4,4,4,4,4,4,4,4,4
Swordsman,0.8,1,1.1,1.2,1.3,1.4,1.4,1.5,1.3,1.3,4,4,4,4,4,4,4,4,4,4,4,4,4
Archer,0.8,1.2,4,4,4,4,4,4,4,4,4,4,1.4,4,4,4,4,4,4,4,4,4,4
Mage,1,1.2,4,4,4,4,4,4,4,4,1.4,1.4,4,4,4,4,4,4,4,4,4,4,4
Acolyte,0.8,4,4,4,4,4,4,4,1.2,1.2,1.2,1.2,4,4,4,4,4,4,4,4,4,4,4
Thief,0.8,1,1.3,4,4,4,1.6,4,4,4,4,4,1.6,4,4,4,4,4,4,4,4,4,4
Merchant,0.8,1.2,1.4,4,4,4,1.4,1.5,1.4,1.4,4,4,4,4,4,4,4,4,4,4,4,4,4
Wizard,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Priest,0.8,4,4,4,4,4,4,4,1.2,1.2,1.2,1.2,4,4,4,4,4,4,4,4,4,4,4
Hunter,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Assassin,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Blacksmith,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Crusader,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Sage,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bard,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Dancer,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Monk,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Rogue,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Alchemist,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SuperNovice,1,1.3,1.4,4,4,4,1.6,2,1.7,4,1.3,1.3,4,4,4,4,4,4,4,4,4,4,4
Ninja,0.8,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5
NoClass,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
