Element,Neutral,Earth,Water,Fire,Wind,Poison,Dark,Holy,Ghost,Special
Neutral1,100,100,100,100,100,105,100,100,50,100
Neutral2,100,100,100,100,100,105,100,100,50,100
Neutral3,100,100,100,100,100,105,100,100,50,100
Neutral4,100,100,100,100,100,105,100,100,50,100
Earth1,100,80,100,125,75,108,100,100,100,100
Earth2,100,60,100,150,50,112,100,100,100,100
Earth3,100,40,100,175,25,116,100,100,100,100
Earth4,100,20,100,200,0,120,100,100,100,100
Water1,100,100,50,75,125,108,100,100,100,100
Water2,100,100,25,50,150,112,100,100,100,100
Water3,100,100,5,25,175,116,100,100,100,100
Water4,100,100,1,0,200,120,100,100,100,100
Fire1,100,75,125,50,100,108,100,100,100,100
Fire2,100,50,150,25,100,112,100,100,100,100
Fire3,100,25,175,5,100,116,100,100,100,100
Fire4,100,0,200,1,100,120,100,100,100,100
Wind1,100,125,75,100,50,108,100,100,100,100
Wind2,100,150,50,100,25,112,100,100,100,100
Wind3,100,175,25,100,5,116,100,100,100,100
Wind4,100,200,0,100,1,120,100,100,100,100
Poison1,100,100,100,100,100,50,90,110,100,100
Poison2,100,105,105,105,105,25,80,120,100,100
Poison3,100,110,110,110,110,5,70,130,100,100
Poison4,100,115,115,115,115,1,60,140,100,100
Undead1,100,100,120,125,100,25,100,120,110,100
Undead2,100,100,140,150,100,5,100,140,120,100
Undead3,100,100,160,175,100,1,100,160,130,100
Undead4,100,100,180,200,100,0,100,180,140,100
Dark1,100,100,100,100,100,80,100,125,100,100
Dark2,100,100,100,100,100,70,100,150,100,100
Dark3,100,100,100,100,100,60,100,175,100,100
Dark4,100,100,100,100,100,50,100,200,100,100
Holy1,100,100,100,100,100,108,125,66,100,100
Holy2,100,100,100,100,100,112,150,33,100,100
Holy3,100,100,100,100,100,116,175,1,100,100
Holy4,100,100,100,100,100,120,200,1,100,100
Ghost1,50,100,100,100,100,100,100,100,150,100
Ghost2,25,100,100,100,100,90,100,100,170,100
Ghost3,1,100,100,100,100,80,100,100,190,100
Ghost4,0,100,100,100,100,70,100,100,200,100
