Job,Class,ItemId,AttackMale,AttackFemale,SpriteMale,EffectMale,SpriteFemale,EffectFemale
Novice,Unarmed,0,1,1,,,,
Novice,Dagger,0,2,3,Assets/Sprites/Weapons/Novice/Male/초보자_남_단검.spr,Assets/Sprites/Weapons/Novice/Male/초보자_남_단검_검광.spr,Assets/Sprites/Weapons/Novice/Female/초보자_여_단검.spr,Assets/Sprites/Weapons/Novice/Female/초보자_여_단검_검광.spr
Novice,Sword,0,2,3,Assets/Sprites/Weapons/Novice/Male/초보자_남_검.spr,,Assets/Sprites/Weapons/Novice/Female/초보자_여_검.spr,
Swordsman,Unarmed,0,1,1,,,,
Swordsman,Dagger,0,2,2,Assets/Sprites/Weapons/Swordsman/Male/검사_남_1207.spr,,Assets/Sprites/Weapons/Swordsman/Female/검사_여_1207.spr,
Swordsman,Sword,0,2,2,Assets/Sprites/Weapons/Swordsman/Male/검사_남_검.spr,Assets/Sprites/Weapons/Swordsman/Male/검사_남_검_검광.spr,Assets/Sprites/Weapons/Swordsman/Female/검사_여_검.spr,Assets/Sprites/Weapons/Swordsman/Female/검사_여_검_검광.spr
Archer,Unarmed,0,3,3,,,,
Mage,Unarmed,0,3,3,,,,
Acolyte,Unarmed,0,2,2,,,,
Thief,Unarmed,0,1,1,,,,
Merchant,Unarmed,0,2,2,,,,
