AiType,State,InputCheck,OutputCheck,EndState
AiPassive,StateIdle,InWaitEnd,OutRandomMoveStart,StateRandomMove
AiPassive,StateIdle,InAttacked,OutStartChase,StateChase
AiPassive,StateRandomMove,InAttacked,OutStartChase,StateChase
AiPassive,StateRandomMove,InReachedTarget,OutWaitStart,StateIdle
AiPassive,StateChase,InAttackRange,OutStartAttacking,StateAttacking
AiPassive,StateChase,InReachedTarget,OutSearch,StateSearch
AiPassive,StateChase,InAttackedNoSwap,OutStartChase,StateChase
AiPassive,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiPassive,StateSearch,InEnemyOutOfSight,OutWaitStart,StateIdle
AiPassive,StateSearch,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiPassive,StateSearch,InAttackRange,OutStartAttacking,StateAttacking
AiPassive,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiPassive,StateAttacking,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiPassive,StateAttacking,InNeedAttackingAdjust,OutAttackingAdjust,StateAdjust
AiPassive,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiPassive,StateAdjust,InReachedTarget,OutSearch,StateSearch
AiPassive,StateAdjust,InAttacked,OutChangeTargets,StateSearch
AiPassive,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiAssist,StateIdle,InAllyInCombat,OutStartChase,StateChase
AiAssist,StateIdle,InWaitEnd,OutRandomMoveStart,StateRandomMove
AiAssist,StateIdle,InAttacked,OutStartChase,StateChase
AiAssist,StateRandomMove,InAttacked,OutStartChase,StateChase
AiAssist,StateRandomMove,InReachedTarget,OutWaitStart,StateIdle
AiAssist,StateChase,InAttackRange,OutStartAttacking,StateAttacking
AiAssist,StateChase,InReachedTarget,OutSearch,StateSearch
AiAssist,StateChase,InAttackedNoSwap,OutStartChase,StateChase
AiAssist,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiAssist,StateSearch,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAssist,StateSearch,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiAssist,StateSearch,InAttackRange,OutStartAttacking,StateAttacking
AiAssist,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAssist,StateAttacking,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiAssist,StateAttacking,InNeedAttackingAdjust,OutAttackingAdjust,StateAdjust
AiAssist,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiAssist,StateAdjust,InReachedTarget,OutSearch,StateSearch
AiAssist,StateAdjust,InAttacked,OutChangeTargets,StateSearch
AiAssist,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiAggressive,StateIdle,InTargetSearch,OutStartChase,StateChase
AiAggressive,StateIdle,InWaitEnd,OutRandomMoveStart,StateRandomMove
AiAggressive,StateIdle,InAttacked,OutStartChase,StateChase
AiAggressive,StateRandomMove,InTargetSearch,OutStartChase,StateChase
AiAggressive,StateRandomMove,InAttacked,OutStartChase,StateChase
AiAggressive,StateRandomMove,InReachedTarget,OutWaitStart,StateIdle
AiAggressive,StateChase,InAttackRange,OutStartAttacking,StateAttacking
AiAggressive,StateChase,InReachedTarget,OutSearch,StateSearch
AiAggressive,StateChase,InAttacked,OutChangeTargets,StateSearch
AiAggressive,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiAggressive,StateSearch,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAggressive,StateSearch,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiAggressive,StateSearch,InAttackRange,OutStartAttacking,StateAttacking
AiAggressive,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAggressive,StateAttacking,InEnemyOutOfAttackRange,OutStartChase,StateChase
AiAggressive,StateAttacking,InNeedAttackingAdjust,OutAttackingAdjust,StateAdjust
AiAggressive,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiAggressive,StateAdjust,InReachedTarget,OutSearch,StateSearch
AiAggressive,StateAdjust,InAttacked,OutChangeTargets,StateSearch
AiAggressive,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiAggressiveImmobile,StateIdle,InAttackRange,OutStartAttacking,StateAttacking
AiAggressiveImmobile,StateIdle,InAttacked,OutTryAttacking,StateAttacking
AiAggressiveImmobile,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiAggressiveImmobile,StateAttacking,InEnemyOutOfSight,OutWaitStart,StateIdle
AiAggressiveImmobile,StateAttacking,InEnemyOutOfAttackRange,OutWaitStart,StateIdle
AiAggressiveImmobile,StateAttacking,InAttackDelayEnd,OutPerformAttack,StateAttacking
AiAggressiveImmobile,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
AiPlant,StateIdle,InWaitEnd,OutWaitForever,StateIdle
AiPlant,StateAbnormal,InChangeNormal,OutChangeNormal,StateIdle
AiPlant,StateDead,InDeadTimeoutEnd,OutTryRevival,StateIdle
